Ativo,Data,Último (R$),Var. Dia (%),Var. Sem. (%),Var. Mês (%),Var. Ano (%),Var. 12M (%),Val. Mín,Val. Máx,Volume,Variação Dia %,Valor Inicial (R$),Var Semanal %,Vlr Inicial Sem (R$),Qtd de Ações,Var Dia (R$),Var Sem (R$),Resultado Dia,Resultado Semana,Nome da Empresa,Segmento,Idade,Cat_Idade
EQTL3,1/26/2024,"35,32","1,34","2,76","-1,12","-1,12","28,01","34,85","35,76","412,31 M","0,013","34,85","0,03","34,37",1.095.587.251,"511.671.895,45","1.039.328.056,70",Subiu,Subiu,Equatorial Energia,Energia,24,Menos de 50 anos
CSNA3,1/26/2024,"18,16","1,33","4,79","-7,63","-7,63","12,45",18,"18,49","109,86 M","0,013","17,92","0,05","17,33",600.865.451,"143.220.991,46","498.779.678,09",Subiu,Subiu,Siderúrgica Nacional,Siderurgia,82,Entre 50 e 100 anos
YDUQ3,1/26/2024,"19,77","1,28","-5,9","-11,82","-11,82","108,45","18,99","19,78","63,48 M","0,013","19,52","-0,06","21,01",289.347.914,"72.295.838,99","-358.665.342,54",Subiu,Desceu,YDUQS,Educação,51,Entre 50 e 100 anos
UGPA3,1/26/2024,"28,31","1,28","2,35","6,79","6,79","119,82","27,84","28,39","104,52 M","0,013","27,95","0,02","27,66",1.086.411.192,"388.705.223,96","706.177.889,47",Subiu,Subiu,Ultrapar,Indústria,84,Entre 50 e 100 anos
MRVE3,1/26/2024,"8,08","1,25","1,38","-28,05","-28,05","14,12","7,93","8,23","109,48 M","0,013","7,98","0,01","7,97",376.187.582,"37.525.872,38","41.375.439,08",Subiu,Subiu,MRV,Construção Civil,42,Menos de 50 anos
ARZZ3,1/26/2024,"57,91","1,15","-1,03","-10,26","-10,26","-28,97","56,22","59,29","202,83 M","0,012","57,25","-0,01","58,51",62.305.891,"41.021.792,09","-37.550.552,41",Subiu,Desceu,Arezzo,Calçados,50,Entre 50 e 100 anos
BBDC4,1/26/2024,"15,52","1,04","-0,77","-9,08","-9,08","16,11","15,35","15,62","354,3 M","0,010","15,36","-0,01","15,64",5.146.576.868,"822.148.336,41","-619.809.051,73",Subiu,Desceu,Banco Bradesco,Serviços Bancários,79,Entre 50 e 100 anos
BEEF3,1/26/2024,"7,19","0,98","6,05","-3,75","-3,75","-48,31","7,11","7,24","42,44 M","0,010","7,12","0,06","6,78",261.036.182,"18.214.628,10","107.071.602,06",Subiu,Subiu,Minerva,Alimentos,26,Menos de 50 anos
PCAR3,1/26/2024,"4,14","0,97","-6,33","1,97","1,97","-51,18","4,08","4,2","21,18 M","0,010","4,10","-0,06","4,42",159.430.826,"6.340.916,22","-44.604.207,46",Subiu,Desceu,Grupo Pão de Açúcar,Varejo,62,Entre 50 e 100 anos
BRFS3,1/26/2024,"14,61","0,96","12,38","5,79","5,79","78,17","14,46","14,93","101,38 M","0,010","14,47","0,12","13,00",1.677.525.446,"233.045.769,57","2.699.920.332,48",Subiu,Subiu,BRF,Alimentos,87,Entre 50 e 100 anos
